Name,Description,Age,Rating_out_of_5,No_of_Ratings,Price,Link
"Learn to Read: A Magical Sight Words and Phonics Activity Workbook for Beginning Readers Ages 5-7: Reading Made Easy | Preschool, Kindergarten and 1st Grade","
Learn to Read: A Magical Site Words and Phonics Activity BookThis book is perfect for kids of all ages who want to learn to read and write in a fun and magical way! The book contains over 40 sight words that kids learn through the image of the word as opposed to sounding letters out. These words make up almost half of most children's books which results in a much easier experience learning other words. It also includes word recognition drills along with fun puzzles and games using magical creatures like unicorns, mermaids and dinosaurs.The Book Contains:Premium matte cover designPrinted on high quality 60# interior stockPerfectly sized at 8.5"" x 11""

",,4.7,10.298,$6.99,https://www.amazon.com/Learn-Read-Beginning-Preschool-Kindergarten/dp/1948209543/ref=sr_1_107?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-107
A Long Walk to Water: Based on a True Story,"
The New York Times bestseller A Long Walk to Water begins as two stories, told in alternating sections, about two eleven-year-olds in Sudan, a girl in 2008 and a boy in 1985. The girl, Nya, is fetching water from a pond that is two hours’ walk from her home: she makes two trips to the pond every day. The boy, Salva, becomes one of the ""lost boys"" of Sudan, refugees who cover the African continent on foot as they search for their families and for a safe place to stay. Enduring every hardship from loneliness to attack by armed rebels to contact with killer lions and crocodiles, Salva is a survivor, and his story goes on to intersect with Nya’s in an astonishing and moving way.

",Ages: 10 - 12 years,4.8,9.189,$7.64,https://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311/ref=sr_1_108?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-108
The One and Only Ivan,"
The #1 New York Times bestselling and Newbery Award-winning novel The One and Only Ivan is now a major motion picture streaming on Disney+This unforgettable novel from renowned author Katherine Applegate celebrates the transformative power of unexpected friendship. Inspired by the true story of a captive gorilla known as Ivan, this illustrated book is told from the point of view of Ivan himself.  Having spent twenty-seven years behind the glass walls of his enclosure in a shopping mall, Ivan has grown accustomed to humans watching him. He hardly ever thinks about his life in the jungle. Instead, Ivan occupies himself with television, his friends Stella and Bob, and painting. But when he meets Ruby, a baby elephant taken from the wild, he is forced to see their home, and his art, through new eyes.In the tradition of timeless stories like Charlotte's Web and Stuart Little, Katherine Applegate blends humor and poignancy to create an unforgettable story of friendship, art, and hope.The One and Only Ivan features first-person narrative; author's use of literary devices (personification, imagery); and story elements (plot, character development, perspective).This acclaimed middle grade novel is an excellent choice for tween readers in grades 5 to 8, for independent reading, homeschooling, and sharing in the classroom.Plus don't miss The One and Only Bob, Katherine Applegate's return to the world of Ivan, Bob, and Ruby!

",Ages: 8 - 12 years,4.8,12.844,$6.49,https://www.amazon.com/One-Only-Ivan-Katherine-Applegate/dp/0061992275/ref=sr_1_109?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-109
"My Best Toddler Coloring Book - Fun with Numbers, Letters, Shapes, Colors, Animals: Big Activity Workbook for Toddlers & Kids","
Adorable, Fun and Engaging Preschool WorkbookMy Best Toddler Coloring Book is the only jumbo toddler coloring book that introduces early counting and simple word skills―in addition to shapes, letters, numbers, and animals―with over 100 illustrations.Toddlers learn best while having fun. My Best Toddler Coloring Book helps children ages 1,2,3,4 and 5 - learn fundamental concepts like reading and counting through coloring.In the colorful, eye-catching pages of My Best Toddler Coloring Book, you'll find:Fundamental learning concepts  - numbers, letters, shapes, colors, animals, simple words, and countingBold lines - helps toddlers stay within the lines and reinforce the shapes found in this toddler coloring bookMore than 100 familiar illustrations - perfect for building fine motor and recognition skillsShapes - Circle, Oval, Square, Rectangle, Triangle, Star, Heart, & DiamondNumbers - 0, 1, 2, 3, 4, 5, 6, 7, 8, 9,& 10.Counting - Guided counting from 1 to 10 of each shapeColoring - Every page is of giant size (8.5 x 11 inches), fun to color, and is presented in the super cute images that every toddler would sure to enjoy.My Best Toddler Coloring Book is an awesome toddler coloring book for fun and learning that inspires hours of enjoyment―at home or in the classroom.It is most suitable for kids age between 1- 5 years, but also suits any child who loves coloring and knowing the basics in a much more fun and exciting way!

",Ages: 2 - 8 years,4.8,6.414,$4.99,https://www.amazon.com/My-Best-Toddler-Coloring-Book/dp/1075307945/ref=sr_1_110?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-110
The Little House (9 Volumes Set),"
This nine-book paperback box set of the classic series features the classic black-and-white artwork from Garth Williams. The nine books in the timeless Little House series tell the story of Laura’s real childhood as an American pioneer, and are cherished by readers of all generations. They offer a unique glimpse into life on the American frontier, and tell the heartwarming, unforgettable story of a loving family.Little House in the Big WoodsMeet the Ingalls family—Laura, Ma, Pa, Mary, and baby Carrie, who all live in a cozy log cabin in the big woods of Wisconsin in the 1870s. Though many of their neighbors are wolves and panthers and bears, the woods feel like home, thanks to Ma’s homemade cheese and butter and the joyful sounds of Pa’s fiddle.Farmer BoyAs Laura Ingalls is growing up in a little house in Kansas, Almanzo Wilder lives on a big farm in New York. He and his brothers and sisters work hard from dawn to supper to help keep their family farm running. Almanzo wishes for just one thing—his very own horse—but he must prove that he is ready for such a big responsibility.Little House on the PrairieWhen Pa decides to sell the log house in the woods, the family packs up and moves from Wisconsin to Kansas, where Pa builds them their little house on the prairie!  Living on the farm is different from living in the woods, but Laura and her family are kept busy and are happy with the promise of their new life on the prairie.On the Banks of Plum CreekThe Ingalls family lives in a sod house beside Plum Creek in Minnesota until Pa builds them a new house made of sawed lumber. The money for the lumber will come from their first wheat crop. But then, just before the wheat is ready to harvest, a strange glittering cloud fills the sky, blocking out the sun. Millions of grasshoppers cover the field and everything on the farm, and by the end of a week, there is no wheat crop left.By the Shores of Silver LakePa Ingalls heads west to the unsettled wilderness of the Dakota Territory. When Ma, Mary, Laura, Carrie, and baby Grace join him, they become the first settlers in the town of De Smet. Pa starts work on the first building of the brand new town, located on the shores of Silver Lake.  The Long WinterThe first terrible storm comes to the barren prairie in October. Then it snows almost without stopping until April. With snow piled as high as the rooftops, it’s impossible for trains to deliver supplies, and the townspeople, including Laura and her family, are starving. Young Almanzo Wilder, who has settled in the town, risks his life to save the town.Little Town on the PrairieDe Smet is rejuvenated with the beginning of spring. But in addition to the parties, socials, and “literaries,” work must continue. Laura spends many hours sewing shirts to help Ma and Pa get enough money to send Mary to a college for the blind. But in the evenings, Laura makes time for a new caller, Almanzo Wilder. These Happy Golden YearsLaura must continue to earn money to keep Mary in her college for the blind, so she gets a job as a teacher. It’s not easy, and for the first time she’s living away from home. But it gets a little better every Friday, when Almanzo picks Laura up to take her back home for the weekend. Though Laura is still young, she and Almanzo are officially courting, and she knows that this is a time for new beginnings.The First Four YearsLaura Ingalls and Almanzo Wilder have just been married! They move to a small prairie homestead to start their lives together. But each year brings new challenges—storms, sickness, fire, and unpaid debts. These first four years call for courage, strength, and a great deal of determination. And through it all, Laura and Almanzo still have their love, which only grows when baby Rose arrives.

",Ages: 8 - 12 years,4.9,3.386,$36.81,https://www.amazon.com/Little-House-Volumes-Set/dp/0064400409/ref=sr_1_111?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-111
First Little Readers Parent Pack: Guided Reading Level B: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,"
Jumpstart reading success with this big collection of motivating storybooks correlated with Guided Reading Level B. Most pages of these full-color storybooks feature just one or two lines of simple, repetitive text to help children learn to read with ease and confidence. Includes a tip-filled parent guide. A great value! Includes these 25 titles: 1. What Jumps? 2. In My Pocket 3. What do Monsters Eat? 4. Animal Crackers 5. Farm Twins 6. The Missing Monster 7. My Meatball 8. Growing Up 9. I Wish I Were a Bird 10. Tiny Things 11. Gingerbread Boy 12. What Flies? 13. Bigger 14. I Like Socks 15. Meet My Baby Brother 16. Come Over 17. Party Shapes 18. The Wheels on the Bus 19. Cloud Pictures 20. Ice Cream Scoops 21. Draw a Cat 22. What Grows on Trees? 23. Halloween 24. Great Hair 25. Clean Up, Clean Up! For use with Grades PreK-2.

",Ages: 4 - 7 years,4.8,4.946, $8.99,https://www.amazon.com/First-Little-Readers-Parent-Pack/dp/0545231507/ref=sr_1_112?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-112
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),"
Li'l Petey gets caught in some family drama in the eighth Dog Man book from worldwide bestselling author and artist Dav Pilkey.Petey the Cat is out of jail, and he has a brand-new lease on life. While Petey's reevaluated what matters most, Li'l Petey is struggling to find the good in the world. Can Petey and Dog Man stop fighting like cats and dogs long enough to put their paws together and work as a team? They need each other now more than ever -- Li'l Petey (and the world) is counting on them!Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of doing good.

",Ages: 7 years and up,4.9,18.909,$8.00,https://www.amazon.com/Dog-Man-Fetch-22-Creator-Underpants/dp/1338323210/ref=sr_1_113?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-113
"Roses Are Pink, Your Feet Really Stink (Gilbert the Opossum)","
This Valentine's Day favorite read-aloud will prompt lots of giggles, as well as discussions on kindness and forgiveness. Gilbert is all set to write fifteen friendly valentine cards to his classmates. But how can he write a nice poem for the boy who tweaked his nose, or the girl who made fun of his glasses? Instead, Gilbert writes two not-so-nice valentines...and signs the wrong name on both!When his classmates read his poems, their feelings are hurt, and Gilbert's prank quickly turns into pandemonium. But with the help of a friend and an honest apology, there's always time for a change of heart on Valentine's Day. 

",Ages: 4 - 8 years,4.8,920,$7.99,https://www.amazon.com/Roses-Really-Stink-Gilbert-Opossum/dp/0688152201/ref=sr_1_114?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-114
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),"
Petey learns what it means to do good in the seventh Dog Man book from worldwide bestselling author and artist Dav Pilkey.The Supa Buddies have been working hard to help Dog Man overcome his bad habits. But when his obsessions turn to fears, Dog Man finds himself the target of an all-new supervillain! Meanwhile, Petey the Cat has been released from jail and starts a new life with Li'l Petey. But when Petey's own father arrives, Petey must face his past and fight for who he loves.Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of doing good.

",Ages: 7 years and up,4.9,14.364,$6.43,https://www.amazon.com/Dog-Man-Creator-Captain-Underpants/dp/1338236598/ref=sr_1_115?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-115
"How to Draw Anime (Includes Anime, Manga and Chibi) Part 1 Drawing Anime Faces","
How to draw AnimeLearn to draw Anime today with one of the best how to draw Anime book currently on Amazon.Learn to Draw AnimeDoes your child, tween, or teen love Anime and drawing Anime? This book will teach them in an easy way how to draw Anime of all kinds. It starts with the basics and teaches them step by step the process of drawing Anime in a fun way.This book will teach your child how to draw, step by step, with the easiest approach possible...by using simple shapes. Each tutorial makes learning how to draw Anime as simple as possible.Joseph Stevenson has been teaching kids how to draw for almost ten years now, and his drawing techniques really work! With this no-tears strategy, learning how to draw is fun for children as young as 5 years old, but also works for adults and teens. Learning to draw Anime is fun for kids, but even more fun when it comes easy to them.This book does just that...makes drawing fun and easy for everyone. This book will turn your child into the artist that he or she wants to be. Each animal drawing lesson is a step by step process. Each tutorial is broken down into the simplest of steps that can be followed by most people.This book is for both boys and girls, and is good for kids of most age ranges, but is best for kids aged 9-12 - but if your kids are 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, etc, they will all have fun trying these drawing tutorials out. Have fun drawing the day away! Find detailed instructions inside on how to draw:AnimeMangaChibiAnime EyesAnime HairAnime GirlsAnime BoysManga Girls and many more! Learn how to draw Anime with step by step guides. You will learn to draw Anime using shapes, templates, lines and many more. Some Anime are easy and others are harder. Great for yourself or as a gift! Frequently Asked Questions How Long Will it Take to Learn to Draw Anime? Student’s abilities are different and learning to draw Anime can take some time. We have found though with daily practice that most students can learn to draw Anime within 1 - 2 months of starting with our learn to draw Anime book. What drawing tools will I need? We recommend a set of colored pencils and a drawing pad. However learning to draw can be done with a basic pencil and copy paper as well. If you are just getting started we would suggest getting basic tools to make sure you enjoy drawing first. Is this book for beginners or advanced artists? This book will be a great tool for beginners or advanced artists looking to get better at drawing Anime. The drawings do have some detail to them but that is always on the last step making it easy for beginner students to start out with the simpler version and then work to get better at the advanced versions. Are there any other books I can buy that will help me? Yes! Joseph Stevenson has multiple books on how to draw everything from Anime to people. You can find all of Joseph’s books on Amazon or other major bookstores. Joseph has been teaching people how to draw for the last 25 years and has a lot of great content out there. What if I’m just not good at drawing? Everyone can draw! It may take time and practice but we have never met anyone that couldn’t get better at drawing with a little guidance and practice! If you buy the book however and still feel like you just can get it please feel free to return it for a full refund no questions asked. This book is an official Joseph Stevenson Drawing product from Golden Valley Press. Not approved to be copied in any way digital or otherwise.

",,4.7,2.3,$11.95,https://www.amazon.com/Anime-Manga-Chibi-Drawing-Faces/dp/1947215159/ref=sr_1_116?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-116
"See, Touch, Feel: A First Sensory Book","
There's lots for baby to explore in See, Touch, Feel: A First Sensory Book. This sturdy board book, with bright photographs of happy babies, is specially designed to stimulate curiosity through sensory play. Each page has a colorful picture activity that invites baby to touch and explore. There are raised textures to feel, finger trails to follow, and a shiny mirror to look in to. Can they follow the swirl on the snail's shell. Can they tap the drum? As your baby grows, See, Touch, Feel will help your child develop language recognition and motor skills, as they learn to interact with the book in new ways. With lots to explore together, See, Touch, Feel is an ideal first book to share with your baby.

",Ages: 0 - 2 years,4.7,3.782,$10.78,https://www.amazon.com/See-Touch-Feel-First-Sensory/dp/0312527594/ref=sr_1_117?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-117
"School Zone - Get Ready Flash Cards Multiplication & Division 2 Pack - Ages 8 to 9, 3rd Grade, 4th Grade, Multiplication 0-12, Division 0-12, Elementary Math, and More","
Find our complete line of educational resources at Amazon.com/SchoolZonePublishing.  CARD FEATURES  2 flash card packs containing 56 cards each; packs include multiplication and division cards, answer cards, and parent cards with tips and directions  For ages 8 to 9  Large 3.0” x 5.575” glossy cardstock  Rounded corners make sorting and handling easier   Multiplication 0-12 Flash Cards contain 110 problems ranging from 0x0 to 12x12   Division 0-12 Flash Cards contain 104 problems that range from 4÷2 to 144÷12 Parent Cards suggest additional activities to help kids develop essential skills  Multi-set pack is great for home, classroom, or on-the-go learning!   EXCELLENT – Help third and fourth graders lock in skills for the next level in math. Multiplication 0-12 Flash Cards show 110 problems that range from 0x0 to 12x12; Division 0-12 Flash Cards include 104 problems that range from 4÷2 to 144÷12. Find the answer to each problem on the flipside. Parent Cards in both packs suggest activities and strategies to extend the learning and make it fun. With Get Ready Flash Cards Multiplication & Division 2-Pack Grades 3-4, do speed drills, play games, and change it up; gameplay encourages exploration and creativity. Easy to tuck into a bag, flash cards also make great take-anywhere learning! Get an edge with the School Zone Advantage! FLASHCARDS – Kids and parents who use our flashcards for practice testing are using one of the most effective learning techniques available. A hundred years of research shows practice testing is highly likely to boost retention. Learning skills through gameplay is an excellent strategy for many reasons. They are fun and motivating, and games also tend to help students deepen their understanding and reasoning. Because games feel more like play than work, they can encourage kids to explore and experiment with concepts more freely and can reduce the stress of viewing schoolwork as nothing more than problems.RESULTS - Our learning materials have helped educate three generations of kids, creating lifelong learners, and the legacy continues. Digital content, flash cards, workbooks, readers, toys, and games are all crafted through a child’s eyes while integrating parent and teacher standards. PREPARATION - Let us help you prepare your young child for the next grade level with our workbooks, flash cards, books and a Little Scholar Tablet. Keep kids ""classroom ready"" with these great supplemental learning tools and more! AWARD WINNING - School Zone content has won The Parents’ Choice Foundation Award, Tillywig Toy Awards, Brainchild Award, Family Choice Award, Mom's Choice Awards Honoring Excellence, Gold Star Toy Scholastic Parent and Child Award and many more. OUR STORY - Almost 40 years ago, long-time educators James Hoffman, Ed. D. , and his wife Joan Hoffman, M. A. , began a retail supply outlet for teachers, then soon identified a need for at-home learning materials to help parents support and supplement their children’s classroom instruction. School Zone Publishing fast emerged as the market leader in workbooks and flashcards for preschoolers through sixth graders.School Zone remains family-owned, focused on excellence, responsive to customers, alert to emerging technology, and committed to the community. We continually update our products with new features and content, reflective of changing standards, evolving teaching methods, and overall best practices. As just one example, we update our workbook curriculum on an as-needed basis to address changing standards such as those presented by the National Council of Teachers of Mathematics (NCTM) and Common Core.

",Ages: 8 - 10 years,4.7,2.762,$5.99,https://www.amazon.com/School-Zone-Multiplication-Division-Elementary/dp/B07N9HVVVH/ref=sr_1_118?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-118
Number the Stars,"
In Lois Lowry's unforgettable Newbery Medal–winning novel, a ten-year-old Danish girl's bravery is tested when her best friend is threatened by Nazis in 1943. As the German troops begin their campaign to ""relocate"" all the Jews of Denmark, Annemarie Johansen’s family takes in Annemarie’s best friend, Ellen Rosen, and conceals her as part of the family.Through the eyes of ten-year-old Annemarie, we watch as the Danish Resistance smuggles almost the entire Jewish population of Denmark, nearly seven thousand people, across the sea to Sweden. The heroism of an entire nation reminds us that there was pride and human decency in the world even during a time of terror and war.With a new introduction by the author.

",Ages: 10 - 12 years,4.8,7.122,$0.00,https://www.amazon.com/Number-Stars-Lois-Lowry/dp/0547577095/ref=sr_1_119?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-119
Bob Books Set 2-Advancing Beginners,"
Bob Books Set 2-Advancing Beginners continues to build reading skills. Use of three-letter words and consistent vowel sounds in slightly longer stories build confidence. Children love the hilarious (and sometimes mischievous) stories and pictures. These twelve books, filled with fun, drama, and surprise keep interest high for even the youngest readers.

",Ages: 4 - 6 years,4.9,4.278,$8.92,https://www.amazon.com/Bob-Books-Set-2-Advancing-Beginners/dp/0439845025/ref=sr_1_120?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-120
"123 things BIG & JUMBO Coloring Book: 123 Coloring Pages!!, Easy, LARGE, GIANT Simple Picture Coloring Books for Toddlers, Kids Ages 2-4, Early Learning, Preschool and Kindergarten","
123 Pages to color!!!!JUMBO, GIANT and BIG Pictures: Each picture is HUGE which is more fun to Color. Toddlers will definitely love it.Wide Variety of pictures: Wide variety of themes to promote exciting and learning - includes ANIMALS, FRUITS, VEGETABLES, stationery, house, airplane, foods, rainbow, sea animals and more! Suitable for boys and girls.Dark Thick Lines and Simple Pictures: Makes it easy for toddlers to enjoy coloring. Each picture has heavy, chunky black lines--are eye-catching and child-friendly. Great for toddlers, kindergarten and preschool age children.Includes 123 Pages to color! : This Coloring book contains 123 pages of different unique JUMBO pictures with double pages not a single page. It is a perfect gift for TODDLERS. They will enjoy for hours!123 things BIG & JUMBO Coloring Book!See other great coloring books for kids, just click the author name  ""Salmon Sally"".

",Ages: 0 - 12 years,4.8,1.998,$5.88,https://www.amazon.com/123-things-JUMBO-Coloring-Book/dp/1077588593/ref=sr_1_121?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-121
The Rainbow Fish,"
The Rainbow Fish is an international best-seller and a modern classic.Eye-catching foil stamping, glittering on every page, offers instant child appeal, but it is the universal message at the heart of this simple story about a beautiful fish who learns to make friends by sharing his most prized possessions that gives the book its lasting value.  A CHRISTOPHER AWARD WINNER  WINNER OF THE BOLOGNA BOOK FAIR CRITICI IN ERBA PRIZE  AMERICAN BOOKSELLERS ABBY AWARD WINNER  AN IRA-CBC CHILDREN'S CHOICE  #1 PUBLISHERS WEEKLY BESTSELLER and WALL STREET JOURNAL BESTSELLER   

",Ages: 4 - 8 years,4.8,9.043,$8.99,https://www.amazon.com/Rainbow-Fish-Marcus-Pfister/dp/1558580093/ref=sr_1_122?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-122
The Never Girls Collection #1 (Disney: The Never Girls): Books 1-4,"
In a blink of an eye, four best friends all get their biggest wish—they're whisked off to Never Land, home to Tinker Bell and her fairy friends. A great gift for readers ages 6-10, this attractive box contains the first four Never Girls adventures—In a Blink, The Space Between, A Dandelion Wish, and From the Mist.

",Ages: 6 - 9 years,4.8,6.379,$22.99,https://www.amazon.com/Never-Girls-Collection-Disney/dp/0736431411/ref=sr_1_123?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-123
The Rabbit Listened,"
A moving and universal picture book about empathy and kindness, sure to soothe heartaches big and small.When something sad happens, Taylor doesn't know where to turn. All the animals are sure they have the answer. The chicken wants to talk it out, but Taylor doesn't feel like chatting. The bear thinks Taylor should get angry, but that's not quite right either. One by one, the animals try to tell Taylor how to act, and one by one they fail to offer comfort. Then the rabbit arrives. All the rabbit does is listen . . . which is just what Taylor needs. With its spare, poignant text and irresistibly sweet illustration, The Rabbit Listened is about how to comfort and heal the people in your life, by taking the time to carefully, lovingly, gently listen.

",Ages: 3 - 5 years,4.9,1.6,$10.32,https://www.amazon.com/Rabbit-Listened-Cori-Doerrfeld/dp/073522935X/ref=sr_1_124?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-124
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","
The #1 New York Times bestselling children's book now available in board book  An unabridged board book for kids version of the bestselling, best-beloved hardcover, perfect for small hands. Even the roughest, toughest readers will want to turn off their engines, rest their wheels, and drift to sleep with this sweet and soothing story. Vibrant illustrations and gentle rhyming text make this construction book for kids a surefire bedtime favorite for truck-crazy kids everywhere.Can't get enough of these tough trucks? The long-awaited sequel to this bestselling book series, Mighty, Mighty, Construction Site, is now available for preorder.

",Ages: 2 - 4 years,4.9,10.904,$7.97,https://www.amazon.com/Goodnight-Construction-Sherri-Duskey-Rinker/dp/1452111731/ref=sr_1_125?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-125
The 3 Minute Gratitude Journal for Kids: A Journal to Teach Children to Practice Gratitude and Mindfulness,"
The 3 Minute Gratitude Journal is a guide to cultivate an attitude of gratitude for children. It is a self exploration journal designed to focus on being thankful for what we have, the big things in life, as well as the simple joys. Each well designed and kid-friendly daily spread contains space to list out three things you are thankful for, a person who brought you joy and how you felt about your day. If you start each day by writing down three things you are thankful for - a family, a favorite teacher, starting a good book - you begin each day on the right note. Do it daily and make it a habit to focus on the blessings you have been given! Grab a copy for a friend and share the journey together!

",Ages: 7 - 10 years,4.7,7.229,$6.99,https://www.amazon.com/Minute-Gratitude-Journal-Kids-Mindfulness/dp/194820956X/ref=sr_1_126?dchild=1&pf_rd_i=4&pf_rd_p=f92327d7-7b1b-5fb4-82be-5400739bec4f&pf_rd_r=DD6Z1HDJS8TPFG2MAF2E&pf_rd_s=merchandised-search-11&pf_rd_t=BROWSE&qid=1611149061&refinements=p_72%3A1250221011&s=books&sr=1-126
